step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.304,15.304,15.304,0.0,5.234,5.234,5.234,0.0,26.362,26.362,26.362,0.0,25.258,25.258,25.258,0.0
2,15.354,30.658,15.329,0.049999999999998934,5.298,10.532,5.266,0.06400000000000006,26.412,52.774,26.387,0.05000000000000071,25.322,50.58,25.29,0.06400000000000006
3,15.342,46.0,15.333333333333334,-0.011999999999998678,5.174,15.706,5.235333333333333,-0.12399999999999967,26.4,79.174,26.391333333333336,-0.012000000000000455,25.198,75.77799999999999,25.25933333333333,-0.12399999999999878
4,15.472,61.472,15.368,0.129999999999999,5.194,20.9,5.225,0.019999999999999574,26.53,105.70400000000001,26.426000000000002,0.13000000000000256,25.218,100.996,25.249,0.019999999999999574
5,15.284,76.756,15.3512,-0.18799999999999883,5.29,26.189999999999998,5.2379999999999995,0.09600000000000009,26.342,132.046,26.4092,-0.1880000000000024,25.314,126.31,25.262,0.09600000000000009
6,15.256,92.012,15.335333333333333,-0.02800000000000047,5.4,31.589999999999996,5.265,0.11000000000000032,26.314,158.35999999999999,26.39333333333333,-0.027999999999998693,25.424,151.734,25.289,0.10999999999999943
7,15.214,107.226,15.318,-0.041999999999999815,5.19,36.779999999999994,5.254285714285714,-0.20999999999999996,26.272,184.63199999999998,26.375999999999998,-0.04200000000000159,25.214,176.948,25.278285714285715,-0.21000000000000085
8,15.316,122.542,15.31775,0.10200000000000031,5.2,41.98,5.2475000000000005,0.009999999999999787,26.374,211.00599999999997,26.37575,0.10200000000000031,25.224,202.172,25.2715,0.010000000000001563
9,15.236,137.778,15.308666666666666,-0.08000000000000007,5.164,47.144,5.238222222222223,-0.036000000000000476,26.294,237.29999999999998,26.366666666666667,-0.0799999999999983,25.188,227.35999999999999,25.26222222222222,-0.036000000000001364
10,15.456,153.23399999999998,15.323399999999998,0.21999999999999886,5.322,52.466,5.246600000000001,0.15800000000000036,26.514,263.81399999999996,26.381400000000003,0.21999999999999886,25.346,252.706,25.270599999999998,0.15800000000000125
11,15.386,168.61999999999998,15.329090909090906,-0.07000000000000028,5.264,57.730000000000004,5.248181818181819,-0.05799999999999983,26.444,290.258,26.38709090909091,-0.07000000000000028,25.288,277.99399999999997,25.272181818181817,-0.05799999999999983
12,15.34,183.95999999999998,15.329999999999998,-0.045999999999999375,5.228,62.958000000000006,5.246500000000001,-0.036000000000000476,26.398,316.656,26.388000000000005,-0.045999999999999375,25.252,303.246,25.2705,-0.036000000000001364
13,15.338,199.29799999999997,15.330615384615383,-0.002000000000000668,5.384,68.34200000000001,5.257076923076924,0.15600000000000058,26.396,343.052,26.38861538461539,-0.0019999999999988916,25.408,328.654,25.281076923076924,0.15600000000000236
