step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,34.81,34.81,34.81,0.0,12.524,12.524,12.524,0.0,58.426,58.426,58.426,0.0,57.666,57.666,57.666,0.0
2,34.706,69.516,34.758,-0.1039999999999992,12.428,24.951999999999998,12.475999999999999,-0.09599999999999831,58.322,116.748,58.374,-0.1039999999999992,57.57,115.23599999999999,57.617999999999995,-0.09599999999999653
3,34.928,104.444,34.81466666666667,0.2219999999999942,12.504,37.455999999999996,12.485333333333331,0.07599999999999874,58.544,175.292,58.43066666666667,0.2219999999999942,57.646,172.882,57.62733333333333,0.07600000000000051
4,34.986,139.43,34.8575,0.05799999999999983,12.45,49.90599999999999,12.476499999999998,-0.05400000000000027,58.602,233.894,58.4735,0.05799999999999983,57.592,230.474,57.6185,-0.054000000000002046
5,34.666,174.096,34.8192,-0.3200000000000003,12.33,62.23599999999999,12.447199999999999,-0.11999999999999922,58.282,292.176,58.435199999999995,-0.3200000000000003,57.472,287.94599999999997,57.58919999999999,-0.11999999999999744
6,34.888,208.984,34.830666666666666,0.2220000000000013,12.63,74.86599999999999,12.477666666666664,0.3000000000000007,58.504,350.68,58.446666666666665,0.2220000000000013,57.772,345.71799999999996,57.61966666666666,0.29999999999999716
7,34.844,243.828,34.83257142857143,-0.04399999999999693,12.34,87.20599999999999,12.457999999999998,-0.2900000000000009,58.46,409.14,58.44857142857143,-0.04399999999999693,57.482,403.19999999999993,57.59999999999999,-0.28999999999999915
8,34.754,278.582,34.82275,-0.09000000000000341,12.328,99.53399999999999,12.441749999999999,-0.012000000000000455,58.37,467.51,58.43875,-0.09000000000000341,57.47,460.66999999999996,57.583749999999995,-0.012000000000000455
9,34.89,313.472,34.83022222222222,0.13600000000000279,12.406,111.94,12.437777777777777,0.07800000000000118,58.506,526.016,58.44622222222222,0.13600000000000279,57.548,518.218,57.57977777777777,0.07800000000000296
10,34.858,348.33,34.833,-0.03200000000000358,12.544,124.484,12.4484,0.1379999999999999,58.474,584.49,58.449,-0.03200000000000358,57.686,575.904,57.5904,0.13799999999999812
11,34.732,383.062,34.82381818181818,-0.12599999999999767,12.584,137.06799999999998,12.46072727272727,0.03999999999999915,58.348,642.838,58.439818181818175,-0.12599999999999767,57.726,633.63,57.60272727272727,0.03999999999999915
12,34.774,417.836,34.81966666666667,0.04200000000000159,12.352,149.42,12.451666666666666,-0.23199999999999932,58.39,701.228,58.43566666666666,0.04200000000000159,57.494,691.124,57.59366666666667,-0.23199999999999932
13,34.83,452.666,34.82046153846154,0.055999999999997385,12.504,161.92399999999998,12.455692307692306,0.15199999999999925,58.446,759.674,58.436461538461536,0.055999999999997385,57.646,748.77,57.597692307692306,0.15200000000000102
14,34.71,487.376,34.812571428571424,-0.11999999999999744,12.334,174.25799999999998,12.447,-0.16999999999999993,58.326,818.0,58.42857142857143,-0.11999999999999744,57.476,806.246,57.589,-0.1700000000000017
15,34.806,522.182,34.812133333333335,0.09599999999999653,12.376,186.634,12.442266666666665,0.041999999999999815,58.422,876.422,58.428133333333335,0.09599999999999653,57.518,863.764,57.584266666666664,0.04200000000000159
16,34.862,557.044,34.81525,0.05600000000000449,12.444,199.07799999999997,12.442375,0.06800000000000139,58.478,934.9,58.43125,0.05600000000000449,57.586,921.35,57.584374999999994,0.06799999999999784
17,34.832,591.876,34.81623529411765,-0.030000000000001137,12.454,211.53199999999998,12.443058823529412,0.009999999999999787,58.448,993.348,58.432235294117646,-0.030000000000001137,57.596,978.946,57.58505882352941,0.00999999999999801
18,34.852,626.728,34.81822222222222,0.01999999999999602,12.218,223.74999999999997,12.430555555555555,-0.23600000000000065,58.468,1051.816,58.434222222222225,0.020000000000003126,57.36,1036.306,57.572555555555546,-0.2359999999999971
19,34.826,661.554,34.81863157894737,-0.02599999999999625,12.214,235.96399999999997,12.419157894736841,-0.0039999999999995595,58.442,1110.258,58.43463157894737,-0.026000000000003354,57.356,1093.662,57.56115789473683,-0.003999999999997783
20,34.88,696.434,34.8217,0.054000000000002046,12.522,248.48599999999996,12.424299999999999,0.30799999999999983,58.496,1168.7540000000001,58.43770000000001,0.054000000000002046,57.664,1151.326,57.56629999999999,0.30799999999999983
21,34.752,731.1859999999999,34.81838095238095,-0.1280000000000001,12.424,260.90999999999997,12.424285714285713,-0.09800000000000075,58.368,1227.122,58.434380952380955,-0.1280000000000001,57.566,1208.892,57.566285714285705,-0.09799999999999898
22,34.91,766.0959999999999,34.82254545454545,0.15799999999999415,12.438,273.34799999999996,12.42490909090909,0.014000000000001123,58.526,1285.6480000000001,58.43854545454546,0.15800000000000125,57.58,1266.472,57.56690909090908,0.013999999999995794
23,34.774,800.8699999999999,34.82043478260869,-0.13599999999999568,12.516,285.864,12.42886956521739,0.0779999999999994,58.39,1344.0380000000002,58.43643478260871,-0.13600000000000279,57.658,1324.1299999999999,57.57086956521738,0.07800000000000296
24,34.768,835.6379999999999,34.81825,-0.006000000000000227,12.46,298.32399999999996,12.430166666666665,-0.05599999999999916,58.384,1402.4220000000003,58.43425,-0.006000000000000227,57.602,1381.732,57.57216666666667,-0.05600000000000449
25,34.524,870.1619999999999,34.80647999999999,-0.24399999999999977,12.516,310.84,12.433599999999998,0.05599999999999916,58.14,1460.5620000000004,58.42248000000001,-0.24399999999999977,57.658,1439.3899999999999,57.575599999999994,0.05600000000000449
26,34.83,904.992,34.80738461538461,0.3059999999999974,12.576,323.416,12.439076923076923,0.0600000000000005,58.446,1519.0080000000003,58.42338461538462,0.3059999999999974,57.718,1497.108,57.58107692307692,0.060000000000002274
27,34.662,939.654,34.802,-0.16799999999999926,12.458,335.874,12.43977777777778,-0.11800000000000033,58.278,1577.2860000000003,58.418,-0.16799999999999926,57.6,1554.7079999999999,57.58177777777777,-0.1180000000000021
28,34.66,974.314,34.79692857142857,-0.0020000000000024443,12.5,348.374,12.441928571428573,0.041999999999999815,58.276,1635.5620000000004,58.41292857142857,-0.001999999999995339,57.642,1612.35,57.583928571428565,0.04200000000000159
29,34.68,1008.9939999999999,34.792896551724134,0.020000000000003126,12.29,360.66400000000004,12.436689655172415,-0.21000000000000085,58.296,1693.8580000000004,58.40889655172414,0.01999999999999602,57.432,1669.782,57.57868965517241,-0.21000000000000085
30,34.766,1043.76,34.792,0.08599999999999852,12.412,373.076,12.435866666666668,0.12200000000000166,58.382,1752.2400000000005,58.40800000000001,0.08599999999999852,57.554,1727.336,57.577866666666665,0.12199999999999989
31,34.712,1078.472,34.78941935483871,-0.05399999999999494,12.32,385.396,12.432129032258064,-0.09200000000000053,58.328,1810.5680000000004,58.40541935483871,-0.05399999999999494,57.462,1784.798,57.574129032258064,-0.09199999999999875
32,34.696,1113.168,34.786500000000004,-0.016000000000005343,12.252,397.648,12.4265,-0.06799999999999962,58.312,1868.8800000000003,58.4025,-0.016000000000005343,57.394,1842.192,57.5685,-0.06800000000000495
33,34.942,1148.11,34.791212121212126,0.24600000000000222,12.312,409.96000000000004,12.423030303030304,0.05999999999999872,58.558,1927.4380000000003,58.407212121212126,0.24600000000000222,57.454,1899.646,57.565030303030305,0.060000000000002274
34,34.716,1182.8259999999998,34.789,-0.2259999999999991,12.512,422.47200000000004,12.42564705882353,0.20000000000000107,58.332,1985.7700000000004,58.40500000000001,-0.2259999999999991,57.654,1957.3,57.567647058823525,0.20000000000000284
35,34.776,1217.6019999999999,34.788628571428575,0.060000000000002274,12.574,435.04600000000005,12.429885714285716,0.06199999999999939,58.392,2044.1620000000005,58.40462857142858,0.060000000000002274,57.716,2015.0159999999998,57.57188571428571,0.06199999999999761
36,34.798,1252.3999999999999,34.78888888888889,0.021999999999998465,12.552,447.59800000000007,12.43327777777778,-0.02200000000000024,58.414,2102.5760000000005,58.404888888888905,0.021999999999998465,57.694,2072.71,57.57527777777778,-0.021999999999998465
37,34.744,1287.1439999999998,34.78767567567568,-0.054000000000002046,12.518,460.1160000000001,12.43556756756757,-0.03399999999999892,58.36,2160.9360000000006,58.40367567567569,-0.054000000000002046,57.66,2130.37,57.57756756756756,-0.034000000000006025
38,34.542,1321.6859999999997,34.78121052631579,-0.20199999999999818,12.346,472.4620000000001,12.433210526315792,-0.1720000000000006,58.158,2219.0940000000005,58.3972105263158,-0.20199999999999818,57.488,2187.8579999999997,57.57521052631578,-0.17199999999999704
39,34.786,1356.4719999999998,34.781333333333336,0.24399999999999977,12.534,484.9960000000001,12.435794871794874,0.1880000000000006,58.402,2277.4960000000005,58.39733333333335,0.24399999999999977,57.676,2245.5339999999997,57.577794871794865,0.1880000000000024
40,34.812,1391.2839999999997,34.7821,0.02599999999999625,12.358,497.3540000000001,12.43385,-0.17600000000000016,58.428,2335.9240000000004,58.3981,0.02599999999999625,57.5,2303.0339999999997,57.57584999999999,-0.17600000000000193
41,34.836,1426.1199999999997,34.78341463414635,0.02400000000000091,12.708,510.0620000000001,12.440536585365853,0.34999999999999964,58.452,2394.376,58.399414634146346,0.02400000000000091,57.85,2360.8839999999996,57.582536585365844,0.3500000000000014
