step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,18.274,18.274,18.274,0.0,8.25,8.25,8.25,0.0,29.272,29.272,29.272,0.0,28.332,28.332,28.332,0.0
2,18.09,36.364000000000004,18.182000000000002,-0.18400000000000105,8.272,16.522,8.261,0.02200000000000024,29.088,58.36,29.18,-0.1839999999999975,28.354,56.686,28.343,0.021999999999998465
3,18.154,54.518,18.172666666666668,0.06400000000000006,8.252,24.774,8.258000000000001,-0.019999999999999574,29.152,87.512,29.170666666666666,0.06400000000000006,28.334,85.02,28.34,-0.019999999999999574
4,18.174,72.69200000000001,18.173000000000002,0.019999999999999574,8.342,33.116,8.279,0.08999999999999986,29.172,116.684,29.171,0.019999999999999574,28.424,113.44399999999999,28.360999999999997,0.08999999999999986
5,18.082,90.774,18.1548,-0.09199999999999875,8.212,41.328,8.265600000000001,-0.13000000000000078,29.08,145.764,29.152800000000003,-0.0920000000000023,28.294,141.738,28.3476,-0.129999999999999
6,18.172,108.946,18.157666666666668,0.08999999999999986,8.234,49.562000000000005,8.260333333333334,0.02200000000000024,29.17,174.93400000000003,29.155666666666672,0.09000000000000341,28.316,170.054,28.342333333333332,0.021999999999998465
7,18.244,127.19,18.169999999999998,0.07199999999999918,8.258,57.82000000000001,8.260000000000002,0.023999999999999133,29.242,204.17600000000002,29.168000000000003,0.07199999999999918,28.34,198.394,28.342000000000002,0.02400000000000091
8,18.192,145.382,18.17275,-0.0519999999999996,8.29,66.11000000000001,8.26375,0.03200000000000003,29.19,233.366,29.170749999999998,-0.0519999999999996,28.372,226.76600000000002,28.34575,0.03200000000000003
9,18.232,163.614,18.179333333333332,0.03999999999999915,8.222,74.33200000000001,8.25911111111111,-0.06799999999999962,29.23,262.596,29.177333333333333,0.03999999999999915,28.304,255.07000000000002,28.34111111111111,-0.06800000000000139
10,18.206,181.82,18.182,-0.0259999999999998,8.336,82.668,8.2668,0.11400000000000077,29.204,291.8,29.18,-0.0259999999999998,28.418,283.488,28.3488,0.11400000000000077
11,18.074,199.894,18.17218181818182,-0.1319999999999979,8.246,90.914,8.26490909090909,-0.08999999999999986,29.072,320.872,29.17018181818182,-0.13200000000000145,28.328,311.816,28.34690909090909,-0.08999999999999986
12,18.182,218.076,18.173,0.10799999999999699,8.198,99.112,8.259333333333332,-0.04800000000000004,29.18,350.052,29.171000000000003,0.10800000000000054,28.28,340.096,28.341333333333335,-0.047999999999998266
13,18.242,236.31799999999998,18.17830769230769,0.060000000000002274,8.284,107.396,8.26123076923077,0.0860000000000003,29.24,379.29200000000003,29.176307692307695,0.05999999999999872,28.366,368.462,28.343230769230768,0.08599999999999852
14,18.182,254.49999999999997,18.178571428571427,-0.060000000000002274,8.25,115.646,8.260428571428571,-0.034000000000000696,29.18,408.47200000000004,29.17657142857143,-0.05999999999999872,28.332,396.794,28.34242857142857,-0.03399999999999892
15,18.166,272.666,18.177733333333332,-0.015999999999998238,8.248,123.894,8.2596,-0.002000000000000668,29.164,437.636,29.175733333333334,-0.015999999999998238,28.33,425.12399999999997,28.341599999999996,-0.0020000000000024443
16,18.25,290.916,18.18225,0.08399999999999963,8.256,132.15,8.259375,0.008000000000000895,29.248,466.884,29.18025,0.08399999999999963,28.338,453.462,28.341375,0.008000000000002672
17,18.138,309.054,18.179647058823527,-0.11199999999999832,8.226,140.376,8.257411764705882,-0.02999999999999936,29.136,496.02000000000004,29.17764705882353,-0.11200000000000188,28.308,481.77,28.339411764705883,-0.030000000000001137
18,18.192,327.246,18.180333333333333,0.053999999999998494,8.21,148.586,8.254777777777779,-0.016000000000000014,29.19,525.21,29.178333333333335,0.054000000000002046,28.292,510.062,28.33677777777778,-0.015999999999998238
19,18.238,345.484,18.18336842105263,0.045999999999999375,8.266,156.852,8.255368421052632,0.05599999999999916,29.236,554.446,29.181368421052632,0.045999999999999375,28.348,538.41,28.33736842105263,0.055999999999997385
20,18.062,363.546,18.1773,-0.17599999999999838,8.348,165.20000000000002,8.260000000000002,0.08200000000000074,29.06,583.506,29.1753,-0.17600000000000193,28.43,566.8399999999999,28.341999999999995,0.08200000000000074
21,18.138,381.68399999999997,18.17542857142857,0.07600000000000051,8.202,173.40200000000002,8.257238095238096,-0.1460000000000008,29.136,612.6419999999999,29.17342857142857,0.07600000000000051,28.284,595.1239999999999,28.33923809523809,-0.1460000000000008
