step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.892,15.892,15.892,0.0,5.684,5.684,5.684,0.0,26.952,26.952,26.952,0.0,25.614,25.614,25.614,0.0
2,15.618,31.509999999999998,15.754999999999999,-0.27399999999999913,5.552,11.236,5.618,-0.13200000000000056,26.678,53.63,26.815,-0.2740000000000009,25.482,51.096000000000004,25.548000000000002,-0.13200000000000145
3,15.802,47.312,15.770666666666665,0.18399999999999928,5.594,16.830000000000002,5.61,0.0420000000000007,26.862,80.492,26.83066666666667,0.1839999999999975,25.524,76.62,25.540000000000003,0.04200000000000159
4,15.72,63.032,15.758,-0.08199999999999896,5.532,22.362000000000002,5.5905000000000005,-0.06200000000000028,26.78,107.272,26.818,-0.08199999999999719,25.462,102.08200000000001,25.520500000000002,-0.062000000000001165
5,15.728,78.75999999999999,15.751999999999999,0.007999999999999119,5.53,27.892000000000003,5.5784,-0.0019999999999997797,26.788,134.06,26.812,0.007999999999999119,25.46,127.542,25.5084,-0.0019999999999988916
6,15.676,94.43599999999999,15.739333333333333,-0.0519999999999996,5.506,33.398,5.566333333333334,-0.02400000000000002,26.736,160.796,26.799333333333333,-0.0519999999999996,25.436,152.978,25.496333333333336,-0.02400000000000091
7,15.738,110.17399999999999,15.739142857142856,0.06199999999999939,5.47,38.868,5.5525714285714285,-0.036000000000000476,26.798,187.594,26.799142857142858,0.06199999999999761,25.4,178.37800000000001,25.48257142857143,-0.036000000000001364
8,15.864,126.038,15.75475,0.12600000000000122,5.524,44.392,5.549,0.05400000000000027,26.924,214.518,26.814749999999997,0.12600000000000122,25.454,203.83200000000002,25.479,0.054000000000002046
9,15.694,141.732,15.748,-0.16999999999999993,5.52,49.912000000000006,5.545777777777778,-0.004000000000000448,26.754,241.272,26.807999999999996,-0.16999999999999815,25.45,229.282,25.475777777777775,-0.004000000000001336
10,15.642,157.374,15.7374,-0.05200000000000138,5.596,55.50800000000001,5.550800000000001,0.07600000000000051,26.702,267.974,26.7974,-0.0519999999999996,25.526,254.80800000000002,25.4808,0.07600000000000051
11,15.766,173.14,15.739999999999998,0.12400000000000055,5.512,61.02000000000001,5.547272727272728,-0.08400000000000052,26.826,294.8,26.8,0.12399999999999878,25.442,280.25,25.477272727272727,-0.08399999999999963
12,15.8,188.94,15.745,0.034000000000000696,5.396,66.41600000000001,5.534666666666667,-0.11599999999999966,26.86,321.66,26.805000000000003,0.03399999999999892,25.326,305.576,25.46466666666667,-0.11599999999999966
13,15.74,204.68,15.744615384615384,-0.0600000000000005,5.468,71.88400000000001,5.529538461538463,0.07200000000000006,26.8,348.46000000000004,26.80461538461539,-0.05999999999999872,25.398,330.97400000000005,25.459538461538465,0.07199999999999918
14,15.724,220.404,15.743142857142857,-0.016000000000000014,5.528,77.41200000000002,5.529428571428573,0.05999999999999961,26.784,375.244,26.80314285714286,-0.01600000000000179,25.458,356.432,25.45942857142857,0.05999999999999872
