step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,14.932,14.932,14.932,0.0,5.064,5.064,5.064,0.0,25.894,25.894,25.894,0.0,25.108,25.108,25.108,0.0
2,14.958,29.89,14.945,0.0259999999999998,5.012,10.076,5.038,-0.05200000000000049,25.92,51.814,25.907,0.026000000000003354,25.056,50.164,25.082,-0.0519999999999996
3,15.07,44.96,14.986666666666666,0.1120000000000001,5.076,15.152000000000001,5.050666666666667,0.06400000000000006,26.032,77.846,25.948666666666668,0.11199999999999832,25.12,75.284,25.09466666666667,0.06400000000000006
4,14.956,59.916,14.979,-0.11400000000000077,5.08,20.232,5.058,0.004000000000000448,25.918,103.76400000000001,25.941000000000003,-0.11400000000000077,25.124,100.408,25.102,0.003999999999997783
5,15.072,74.988,14.9976,0.11599999999999966,5.084,25.316,5.0632,0.0039999999999995595,26.034,129.798,25.959600000000002,0.11599999999999966,25.128,125.536,25.1072,0.004000000000001336
6,14.988,89.976,14.996,-0.08399999999999963,5.036,30.351999999999997,5.058666666666666,-0.04800000000000004,25.95,155.748,25.958,-0.08399999999999963,25.08,150.61599999999999,25.102666666666664,-0.04800000000000182
7,14.98,104.956,14.993714285714287,-0.007999999999999119,5.094,35.446,5.063714285714285,0.05800000000000072,25.942,181.69,25.955714285714286,-0.007999999999999119,25.138,175.754,25.107714285714284,0.05800000000000338
8,15.086,120.042,15.00525,0.10599999999999987,5.058,40.504,5.063,-0.036000000000000476,26.048,207.738,25.96725,0.1059999999999981,25.102,200.856,25.107,-0.036000000000001364
9,14.918,134.96,14.995555555555557,-0.16800000000000104,5.01,45.513999999999996,5.0571111111111104,-0.04800000000000004,25.88,233.618,25.957555555555555,-0.16799999999999926,25.054,225.91,25.10111111111111,-0.04800000000000182
10,15.0,149.96,14.996,0.08200000000000074,5.036,50.55,5.055,0.0259999999999998,25.962,259.58,25.958,0.08200000000000074,25.08,250.99,25.099,0.0259999999999998
11,14.97,164.93,14.993636363636364,-0.02999999999999936,5.03,55.58,5.052727272727273,-0.005999999999999339,25.932,285.512,25.955636363636362,-0.030000000000001137,25.074,276.064,25.096727272727275,-0.005999999999996675
12,14.944,179.874,14.9895,-0.0259999999999998,5.14,60.72,5.06,0.10999999999999943,25.906,311.418,25.9515,-0.0259999999999998,25.184,301.24800000000005,25.104000000000003,0.10999999999999943
