step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,6.014,6.014,6.014,0.0,2.026,2.026,2.026,0.0,11.004,11.004,11.004,0.0,9.916,9.916,9.916,0.0
2,6.07,12.084,6.042,0.05600000000000005,1.996,4.022,2.011,-0.029999999999999805,11.06,22.064,11.032,0.05600000000000094,9.886,19.802,9.901,-0.030000000000001137
3,6.002,18.086,6.028666666666666,-0.0680000000000005,2.084,6.106,2.0353333333333334,0.08800000000000008,10.992,33.056,11.018666666666666,-0.06799999999999962,9.974,29.776,9.925333333333333,0.08800000000000097
4,6.056,24.142,6.0355,0.05400000000000027,2.0,8.106,2.0265,-0.08400000000000007,11.046,44.102,11.0255,0.053999999999998494,9.89,39.666,9.9165,-0.08399999999999963
5,6.06,30.201999999999998,6.0404,0.0039999999999995595,2.004,10.11,2.022,0.0040000000000000036,11.05,55.152,11.0304,0.004000000000001336,9.894,49.559999999999995,9.911999999999999,0.0039999999999995595
6,6.082,36.284,6.0473333333333334,0.02200000000000024,2.042,12.152,2.025333333333333,0.03799999999999981,11.072,66.224,11.037333333333335,0.021999999999998465,9.932,59.492,9.915333333333333,0.038000000000000256
7,6.104,42.388,6.055428571428571,0.02200000000000024,1.954,14.106,2.015142857142857,-0.08799999999999986,11.094,77.318,11.045428571428571,0.02200000000000024,9.844,69.336,9.905142857142858,-0.08800000000000097
8,6.002,48.39,6.04875,-0.10200000000000031,2.056,16.162,2.02025,0.10200000000000009,10.992,88.31,11.03875,-0.10199999999999854,9.946,79.282,9.91025,0.10200000000000031
9,6.06,54.45,6.050000000000001,0.05799999999999983,2.072,18.233999999999998,2.026,0.016000000000000014,11.05,99.36,11.04,0.05799999999999983,9.962,89.244,9.916,0.016000000000000014
10,6.078,60.528000000000006,6.0528,0.018000000000000682,1.992,20.226,2.0225999999999997,-0.08000000000000007,11.068,110.428,11.0428,0.017999999999998906,9.882,99.126,9.912600000000001,-0.08000000000000007
11,6.084,66.61200000000001,6.055636363636364,0.005999999999999339,2.022,22.247999999999998,2.022545454545454,0.029999999999999805,11.074,121.502,11.045636363636364,0.006000000000000227,9.912,109.03800000000001,9.912545454545455,0.030000000000001137
12,5.932,72.54400000000001,6.045333333333335,-0.15199999999999925,2.022,24.269999999999996,2.0224999999999995,0.0,10.922,132.424,11.035333333333334,-0.15199999999999925,9.912,118.95000000000002,9.912500000000001,0.0
13,6.094,78.638,6.049076923076924,0.16199999999999992,2.062,26.331999999999997,2.0255384615384613,0.040000000000000036,11.084,143.508,11.039076923076923,0.16199999999999903,9.952,128.90200000000002,9.915538461538462,0.03999999999999915
14,6.034,84.67200000000001,6.048000000000001,-0.0600000000000005,2.024,28.355999999999998,2.0254285714285714,-0.03799999999999981,11.024,154.532,11.038,-0.0600000000000005,9.914,138.816,9.915428571428572,-0.038000000000000256
15,6.112,90.784,6.052266666666667,0.07800000000000029,2.05,30.406,2.027066666666667,0.0259999999999998,11.102,165.63400000000001,11.042266666666668,0.07800000000000118,9.94,148.756,9.917066666666667,0.0259999999999998
16,6.064,96.84800000000001,6.053,-0.04800000000000004,2.104,32.51,2.031875,0.05400000000000027,11.054,176.68800000000002,11.043,-0.04800000000000004,9.994,158.75,9.921875,0.05400000000000027
17,6.05,102.89800000000001,6.052823529411764,-0.014000000000000234,2.036,34.546,2.0321176470588234,-0.06800000000000006,11.04,187.728,11.042823529411763,-0.014000000000001123,9.926,168.676,9.922117647058823,-0.06799999999999962
18,5.998,108.89600000000002,6.049777777777778,-0.0519999999999996,2.044,36.589999999999996,2.0327777777777776,0.008000000000000007,10.988,198.716,11.039777777777777,-0.0519999999999996,9.934,178.60999999999999,9.922777777777776,0.007999999999999119
19,6.018,114.91400000000002,6.048105263157895,0.019999999999999574,1.992,38.581999999999994,2.030631578947368,-0.052000000000000046,11.008,209.72400000000002,11.038105263157894,0.019999999999999574,9.882,188.492,9.920631578947368,-0.0519999999999996
20,6.054,120.96800000000002,6.0484,0.036000000000000476,1.922,40.50399999999999,2.0251999999999994,-0.07000000000000006,11.044,220.76800000000003,11.0384,0.036000000000001364,9.812,198.304,9.9152,-0.07000000000000028
