step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,12.158,12.158,12.158,0.0,2.152,2.152,2.152,0.0,23.048,23.048,23.048,0.0,22.2,22.2,22.2,0.0
2,12.226,24.384,12.192,0.06800000000000139,2.144,4.296,2.148,-0.008000000000000007,23.116,46.164,23.082,0.06800000000000139,22.192,44.391999999999996,22.195999999999998,-0.007999999999999119
3,12.086,36.47,12.156666666666666,-0.14000000000000057,2.242,6.538,2.1793333333333336,0.09799999999999986,22.976,69.14,23.046666666666667,-0.14000000000000057,22.29,66.68199999999999,22.22733333333333,0.09799999999999898
4,12.144,48.614,12.1535,0.05799999999999983,2.132,8.67,2.1675,-0.10999999999999988,23.034,92.174,23.0435,0.05799999999999983,22.18,88.862,22.2155,-0.10999999999999943
5,12.132,60.745999999999995,12.149199999999999,-0.012000000000000455,2.226,10.896,2.1792000000000002,0.09399999999999986,23.022,115.196,23.0392,-0.012000000000000455,22.274,111.136,22.2272,0.0940000000000012
6,12.122,72.868,12.144666666666666,-0.009999999999999787,2.232,13.128,2.188,0.006000000000000227,23.012,138.208,23.034666666666666,-0.00999999999999801,22.28,133.416,22.236,0.006000000000000227
7,12.158,85.026,12.146571428571429,0.03599999999999959,2.272,15.4,2.2,0.03999999999999959,23.048,161.256,23.036571428571428,0.03599999999999781,22.32,155.736,22.247999999999998,0.03999999999999915
8,12.162,97.188,12.1485,0.004000000000001336,2.196,17.596,2.1995000000000005,-0.07599999999999962,23.052,184.308,23.0385,0.004000000000001336,22.244,177.98,22.2475,-0.07600000000000051
9,12.13,109.318,12.146444444444445,-0.03200000000000003,2.222,19.818,2.2020000000000004,0.0259999999999998,23.02,207.328,23.036444444444445,-0.03200000000000003,22.27,200.25,22.25,0.0259999999999998
10,12.098,121.416,12.1416,-0.03200000000000003,2.27,22.088,2.2088000000000005,0.04800000000000004,22.988,230.316,23.0316,-0.03200000000000003,22.318,222.568,22.256800000000002,0.04800000000000182
11,12.076,133.492,12.135636363636364,-0.02200000000000024,2.222,24.310000000000002,2.2100000000000004,-0.04800000000000004,22.966,253.282,23.025636363636366,-0.021999999999998465,22.27,244.83800000000002,22.258000000000003,-0.04800000000000182
12,12.03,145.522,12.126833333333332,-0.04600000000000115,2.22,26.53,2.210833333333334,-0.0019999999999997797,22.92,276.202,23.016833333333334,-0.045999999999999375,22.268,267.106,22.25883333333333,-0.0019999999999988916
13,12.212,157.73399999999998,12.133384615384614,0.18200000000000038,2.3,28.830000000000002,2.217692307692308,0.07999999999999963,23.102,299.304,23.023384615384614,0.1819999999999986,22.348,289.454,22.26569230769231,0.0799999999999983
14,12.166,169.89999999999998,12.135714285714284,-0.045999999999999375,2.152,30.982000000000003,2.2130000000000005,-0.1479999999999997,23.056,322.35999999999996,23.025714285714283,-0.045999999999999375,22.2,311.654,22.261,-0.1479999999999997
15,12.122,182.022,12.1348,-0.04400000000000048,2.32,33.302,2.220133333333334,0.1679999999999997,23.012,345.37199999999996,23.024799999999995,-0.04400000000000048,22.368,334.022,22.26813333333333,0.16799999999999926
16,12.162,194.184,12.136500000000002,0.040000000000000924,2.2,35.502,2.2188749999999997,-0.11999999999999966,23.052,368.424,23.0265,0.03999999999999915,22.248,356.27,22.266875,-0.11999999999999744
17,12.114,206.298,12.135176470588236,-0.04800000000000004,2.26,37.762,2.2212941176470586,0.05999999999999961,23.004,391.428,23.025176470588235,-0.047999999999998266,22.308,378.578,22.269294117647057,0.05999999999999872
18,12.126,218.424,12.134666666666668,0.011999999999998678,2.164,39.926,2.218111111111111,-0.09599999999999964,23.016,414.444,23.02466666666667,0.011999999999996902,22.212,400.78999999999996,22.26611111111111,-0.09600000000000009
19,12.094,230.518,12.132526315789475,-0.03200000000000003,2.106,42.032000000000004,2.2122105263157894,-0.058000000000000274,22.984,437.428,23.022526315789474,-0.031999999999996476,22.154,422.94399999999996,22.260210526315788,-0.05799999999999983
20,12.09,242.608,12.130400000000002,-0.0039999999999995595,2.124,44.156000000000006,2.2077999999999998,0.018000000000000238,22.98,460.408,23.020400000000002,-0.004000000000001336,22.172,445.116,22.2558,0.018000000000000682
21,12.086,254.69400000000002,12.128285714285717,-0.0039999999999995595,2.168,46.324000000000005,2.205904761904762,0.04400000000000004,22.976,483.384,23.018285714285714,-0.004000000000001336,22.216,467.332,22.25390476190476,0.04400000000000048
22,12.036,266.73,12.12409090909091,-0.05000000000000071,2.24,48.56400000000001,2.2074545454545453,0.07200000000000006,22.926,506.31,23.01409090909091,-0.05000000000000071,22.288,489.62,22.255454545454544,0.07199999999999918
23,12.112,278.84200000000004,12.123565217391306,0.07600000000000051,2.21,50.77400000000001,2.2075652173913043,-0.03000000000000025,23.002,529.312,23.013565217391307,0.07600000000000051,22.258,511.878,22.255565217391304,-0.030000000000001137
24,12.178,291.02000000000004,12.125833333333333,0.06600000000000072,2.25,53.02400000000001,2.2093333333333334,0.040000000000000036,23.068,552.38,23.015833333333333,0.0660000000000025,22.298,534.1759999999999,22.25733333333333,0.03999999999999915
25,12.148,303.16800000000006,12.12672,-0.030000000000001137,2.174,55.19800000000001,2.20792,-0.07600000000000007,23.038,575.418,23.01672,-0.030000000000001137,22.222,556.3979999999999,22.255919999999996,-0.07599999999999696
26,12.044,315.21200000000005,12.12353846153846,-0.1039999999999992,2.096,57.29400000000001,2.2036153846153845,-0.07799999999999985,22.934,598.352,23.01353846153846,-0.1039999999999992,22.144,578.5419999999999,22.25161538461538,-0.07800000000000296
27,12.166,327.37800000000004,12.12511111111111,0.12199999999999989,2.172,59.46600000000001,2.202444444444444,0.07600000000000007,23.056,621.408,23.01511111111111,0.12199999999999989,22.22,600.762,22.250444444444444,0.07600000000000051
28,12.09,339.468,12.123857142857142,-0.07600000000000051,2.154,61.620000000000005,2.200714285714285,-0.018000000000000238,22.98,644.388,23.013857142857145,-0.07600000000000051,22.202,622.9639999999999,22.248714285714282,-0.01799999999999713
29,12.18,351.648,12.125793103448276,0.08999999999999986,2.226,63.846000000000004,2.2015862068965513,0.07200000000000006,23.07,667.4580000000001,23.015793103448278,0.08999999999999986,22.274,645.2379999999999,22.24958620689655,0.07199999999999918
30,12.116,363.764,12.125466666666664,-0.06400000000000006,2.288,66.134,2.2044666666666664,0.06199999999999983,23.006,690.464,23.01546666666667,-0.06400000000000006,22.336,667.574,22.252466666666667,0.06199999999999761
31,12.23,375.994,12.128838709677419,0.11400000000000077,2.096,68.23,2.2009677419354836,-0.19199999999999973,23.12,713.5840000000001,23.01883870967742,0.11400000000000077,22.144,689.718,22.248967741935484,-0.19200000000000017
32,12.198,388.192,12.131,-0.03200000000000003,2.17,70.4,2.2,0.07399999999999984,23.088,736.672,23.021,-0.03200000000000003,22.218,711.9359999999999,22.248,0.07400000000000162
33,12.196,400.38800000000003,12.132969696969697,-0.002000000000000668,2.242,72.64200000000001,2.2012727272727277,0.07200000000000006,23.086,759.758,23.0229696969697,-0.0020000000000024443,22.29,734.2259999999999,22.24927272727273,0.07199999999999918
34,12.19,412.57800000000003,12.13464705882353,-0.006000000000000227,2.158,74.80000000000001,2.2,-0.08400000000000007,23.08,782.8380000000001,23.024647058823533,-0.006000000000000227,22.206,756.4319999999999,22.248,-0.08399999999999963
35,12.124,424.70200000000006,12.134342857142858,-0.06599999999999895,2.172,76.97200000000001,2.1992000000000003,0.014000000000000234,23.014,805.8520000000001,23.02434285714286,-0.06599999999999895,22.22,778.6519999999999,22.247200000000003,0.013999999999999346
