step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.038,15.038,15.038,0.0,5.152,5.152,5.152,0.0,26.032,26.032,26.032,0.0,25.046,25.046,25.046,0.0
2,15.064,30.102,15.051,0.0259999999999998,5.126,10.278,5.139,-0.0259999999999998,26.058,52.09,26.045,0.0259999999999998,25.02,50.066,25.033,-0.0259999999999998
3,15.062,45.164,15.054666666666668,-0.002000000000000668,5.112,15.39,5.13,-0.014000000000000234,26.056,78.146,26.048666666666666,-0.0019999999999988916,25.006,75.072,25.024,-0.013999999999999346
4,15.04,60.204,15.051,-0.02200000000000024,5.27,20.66,5.165,0.15799999999999947,26.034,104.18,26.045,-0.022000000000002018,25.164,100.236,25.059,0.15800000000000125
5,15.076,75.28,15.056000000000001,0.036000000000001364,5.102,25.762,5.1524,-0.16799999999999926,26.07,130.25,26.05,0.036000000000001364,24.996,125.232,25.0464,-0.1680000000000028
6,15.036,90.316,15.052666666666667,-0.040000000000000924,5.294,31.056,5.176,0.19199999999999928,26.03,156.28,26.046666666666667,-0.03999999999999915,25.188,150.42,25.069999999999997,0.19200000000000017
7,15.042,105.358,15.051142857142858,0.006000000000000227,5.246,36.302,5.186,-0.047999999999999154,26.036,182.316,26.045142857142856,0.006000000000000227,25.14,175.56,25.080000000000002,-0.047999999999998266
8,15.266,120.62400000000001,15.078,0.2240000000000002,5.246,41.548,5.1935,0.0,26.26,208.576,26.072000000000003,0.2240000000000002,25.14,200.7,25.0875,0.0
9,15.194,135.818,15.090888888888887,-0.07199999999999918,5.122,46.67,5.185555555555556,-0.12400000000000055,26.188,234.76399999999998,26.08488888888889,-0.07200000000000273,25.016,225.71599999999998,25.079555555555554,-0.12400000000000233
10,14.994,150.812,15.081199999999999,-0.20000000000000107,5.106,51.776,5.1776,-0.016000000000000014,25.988,260.75199999999995,26.075200000000002,-0.1999999999999993,25.0,250.71599999999998,25.071599999999997,-0.015999999999998238
11,15.03,165.842,15.076545454545453,0.03599999999999959,5.244,57.02,5.183636363636364,0.1379999999999999,26.024,286.77599999999995,26.070545454545456,0.036000000000001364,25.138,275.854,25.077636363636362,0.13800000000000168
