step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.236,15.236,15.236,0.0,4.97,4.97,4.97,0.0,26.162,26.162,26.162,0.0,24.898,24.898,24.898,0.0
2,15.152,30.387999999999998,15.193999999999999,-0.0840000000000014,5.116,10.085999999999999,5.042999999999999,0.1459999999999999,26.078,52.239999999999995,26.119999999999997,-0.08399999999999963,25.044,49.942,24.971,0.1460000000000008
3,15.214,45.602,15.200666666666665,0.062000000000001165,5.158,15.244,5.081333333333333,0.0420000000000007,26.14,78.38,26.126666666666665,0.062000000000001165,25.086,75.02799999999999,25.00933333333333,0.04199999999999804
4,15.182,60.784,15.196,-0.03200000000000003,5.078,20.322,5.0805,-0.08000000000000007,26.108,104.488,26.122,-0.03200000000000003,25.006,100.03399999999999,25.008499999999998,-0.0799999999999983
5,15.252,76.036,15.2072,0.07000000000000028,5.192,25.514,5.1028,0.11399999999999988,26.178,130.666,26.1332,0.07000000000000028,25.12,125.154,25.0308,0.11400000000000077
6,15.312,91.348,15.224666666666666,0.05999999999999872,5.166,30.68,5.113333333333333,-0.0259999999999998,26.238,156.904,26.150666666666666,0.05999999999999872,25.094,150.248,25.04133333333333,-0.0259999999999998
7,15.27,106.618,15.231142857142856,-0.041999999999999815,5.098,35.778,5.111142857142857,-0.0680000000000005,26.196,183.1,26.157142857142855,-0.04199999999999804,25.026,175.274,25.039142857142856,-0.06800000000000139
8,15.358,121.976,15.247,0.08800000000000097,5.056,40.833999999999996,5.10425,-0.041999999999999815,26.284,209.384,26.173000000000002,0.08799999999999741,24.984,200.258,25.032249999999998,-0.04199999999999804
9,15.362,137.338,15.259777777777778,0.0039999999999995595,5.134,45.967999999999996,5.107555555555556,0.07800000000000029,26.288,235.672,26.18577777777778,0.004000000000001336,25.062,225.32000000000002,25.035555555555554,0.0779999999999994
10,15.386,152.724,15.2724,0.023999999999999133,5.24,51.208,5.120800000000001,0.10599999999999987,26.312,261.984,26.198400000000003,0.02400000000000091,25.168,250.48800000000003,25.0488,0.1059999999999981
11,15.304,168.028,15.275272727272727,-0.08199999999999896,5.178,56.385999999999996,5.126,-0.06200000000000028,26.23,288.214,26.201272727272734,-0.08200000000000074,25.106,275.59400000000005,25.054,-0.06199999999999761
12,15.234,183.262,15.271833333333333,-0.07000000000000028,5.028,61.413999999999994,5.1178333333333335,-0.15000000000000036,26.16,314.374,26.19783333333334,-0.07000000000000028,24.956,300.55000000000007,25.045833333333334,-0.15000000000000213
13,15.032,198.294,15.253384615384617,-0.20199999999999996,5.158,66.57199999999999,5.120923076923077,0.13000000000000078,25.958,340.332,26.179384615384624,-0.20200000000000173,25.086,325.6360000000001,25.048923076923078,0.129999999999999
14,15.22,213.514,15.251000000000001,0.1880000000000006,5.066,71.63799999999999,5.117,-0.09200000000000053,26.146,366.478,26.17700000000001,0.1880000000000024,24.994,350.6300000000001,25.044999999999998,-0.09199999999999875
15,15.408,228.922,15.261466666666667,0.18799999999999883,5.142,76.77999999999999,5.118666666666667,0.07600000000000051,26.334,392.812,26.187466666666676,0.18799999999999883,25.07,375.7000000000001,25.046666666666667,0.07600000000000051
