step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.46,15.46,15.46,0.0,5.29,5.29,5.29,0.0,26.448,26.448,26.448,0.0,25.334,25.334,25.334,0.0
2,15.17,30.630000000000003,15.315000000000001,-0.2900000000000009,5.236,10.526,5.263,-0.05400000000000027,26.158,52.606,26.303,-0.28999999999999915,25.28,50.614000000000004,25.307000000000002,-0.053999999999998494
3,15.284,45.914,15.304666666666668,0.11400000000000077,5.308,15.834,5.278,0.07200000000000006,26.272,78.878,26.292666666666666,0.11399999999999721,25.352,75.96600000000001,25.322000000000003,0.07199999999999918
4,15.222,61.136,15.284,-0.062000000000001165,5.146,20.98,5.245,-0.16199999999999992,26.21,105.088,26.272,-0.06199999999999761,25.19,101.156,25.289,-0.16199999999999903
5,15.266,76.402,15.2804,0.04400000000000048,5.174,26.154,5.2308,0.02800000000000047,26.254,131.34199999999998,26.268399999999996,0.04400000000000048,25.218,126.37400000000001,25.274800000000003,0.027999999999998693
6,15.228,91.63,15.271666666666667,-0.038000000000000256,5.324,31.478,5.246333333333333,0.14999999999999947,26.216,157.558,26.259666666666664,-0.038000000000000256,25.368,151.74200000000002,25.290333333333336,0.14999999999999858
7,15.212,106.842,15.263142857142856,-0.016000000000000014,5.324,36.802,5.257428571428571,0.0,26.2,183.75799999999998,26.251142857142856,-0.01600000000000179,25.368,177.11,25.301428571428573,0.0
8,15.206,122.048,15.256,-0.006000000000000227,5.234,42.036,5.2545,-0.08999999999999986,26.194,209.95199999999997,26.244,-0.006000000000000227,25.278,202.388,25.2985,-0.08999999999999986
9,15.21,137.258,15.25088888888889,0.004000000000001336,5.436,47.472,5.274666666666667,0.20199999999999996,26.198,236.14999999999998,26.23888888888889,0.004000000000001336,25.48,227.868,25.318666666666665,0.20200000000000173
10,15.258,152.51600000000002,15.251600000000002,0.047999999999998266,5.228,52.7,5.2700000000000005,-0.20800000000000018,26.246,262.39599999999996,26.239600000000003,0.047999999999998266,25.272,253.14,25.314,-0.20800000000000196
