step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.01,15.01,15.01,0.0,5.118,5.118,5.118,0.0,26.012,26.012,26.012,0.0,25.058,25.058,25.058,0.0
2,15.026,30.036,15.018,0.016000000000000014,5.192,10.31,5.155,0.07399999999999984,26.028,52.04,26.02,0.015999999999998238,25.132,50.19,25.095,0.07400000000000162
3,15.076,45.112,15.037333333333335,0.05000000000000071,5.062,15.372,5.124,-0.1299999999999999,26.078,78.118,26.03933333333333,0.05000000000000071,25.002,75.192,25.063999999999997,-0.13000000000000256
4,15.054,60.166000000000004,15.041500000000001,-0.02200000000000024,5.134,20.506,5.1265,0.07200000000000006,26.056,104.17399999999999,26.043499999999998,-0.021999999999998465,25.074,100.26599999999999,25.066499999999998,0.07200000000000273
5,15.106,75.272,15.054400000000001,0.0519999999999996,5.138,25.644,5.1288,0.0039999999999995595,26.108,130.28199999999998,26.056399999999996,0.0519999999999996,25.078,125.344,25.0688,0.003999999999997783
6,15.174,90.446,15.074333333333334,0.06799999999999962,5.146,30.79,5.131666666666667,0.008000000000000007,26.176,156.45799999999997,26.076333333333327,0.06799999999999784,25.086,150.43,25.07166666666667,0.007999999999999119
7,15.242,105.688,15.098285714285714,0.06800000000000139,5.234,36.024,5.146285714285715,0.08800000000000008,26.244,182.70199999999997,26.10028571428571,0.06800000000000139,25.174,175.604,25.086285714285715,0.08800000000000097
8,14.908,120.596,15.0745,-0.3340000000000014,5.204,41.228,5.153499999999999,-0.03000000000000025,25.91,208.61199999999997,26.0765,-0.33399999999999963,25.144,200.74800000000002,25.0935,-0.030000000000001137
9,15.236,135.832,15.092444444444444,0.3280000000000012,5.23,46.458,5.162,0.02600000000000069,26.238,234.84999999999997,26.094444444444445,0.3279999999999994,25.17,225.918,25.102,0.026000000000003354
10,15.118,150.95,15.094999999999999,-0.11800000000000033,5.272,51.73,5.173,0.041999999999999815,26.12,260.96999999999997,26.096999999999998,-0.11799999999999855,25.212,251.13,25.113,0.04199999999999804
11,15.16,166.10999999999999,15.10090909090909,0.041999999999999815,5.084,56.81399999999999,5.164909090909091,-0.1880000000000006,26.162,287.13199999999995,26.102909090909087,0.04199999999999804,25.024,276.154,25.10490909090909,-0.18799999999999883
12,14.978,181.088,15.090666666666666,-0.18200000000000038,5.096,61.91,5.159166666666667,0.012000000000000455,25.98,313.11199999999997,26.092666666666663,-0.1819999999999986,25.036,301.19,25.099166666666665,0.012000000000000455
13,15.186,196.274,15.098,0.20800000000000018,5.202,67.112,5.162461538461538,0.10599999999999987,26.188,339.29999999999995,26.099999999999998,0.2079999999999984,25.142,326.332,25.102461538461537,0.1059999999999981
14,15.172,211.446,15.103285714285715,-0.013999999999999346,5.31,72.422,5.173,0.10799999999999965,26.174,365.47399999999993,26.10528571428571,-0.013999999999999346,25.25,351.582,25.113,0.10800000000000054
15,15.198,226.644,15.1096,0.0259999999999998,5.224,77.646,5.1764,-0.08599999999999941,26.2,391.6739999999999,26.111599999999996,0.0259999999999998,25.164,376.746,25.1164,-0.08599999999999852
16,15.11,241.75400000000002,15.109625000000001,-0.08800000000000097,5.27,82.916,5.18225,0.045999999999999375,26.112,417.78599999999994,26.111624999999997,-0.08800000000000097,25.21,401.95599999999996,25.12225,0.045999999999999375
