step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.096,15.096,15.096,0.0,5.148,5.148,5.148,0.0,26.096,26.096,26.096,0.0,25.268,25.268,25.268,0.0
2,15.154,30.25,15.125,0.05799999999999983,5.01,10.158,5.079,-0.1379999999999999,26.154,52.25,26.125,0.05799999999999983,25.13,50.397999999999996,25.198999999999998,-0.13800000000000168
3,15.138,45.388,15.129333333333333,-0.016000000000000014,5.164,15.322,5.107333333333333,0.15399999999999991,26.138,78.388,26.129333333333335,-0.015999999999998238,25.284,75.68199999999999,25.22733333333333,0.15399999999999991
4,15.244,60.632,15.158,0.10599999999999987,5.02,20.342,5.0855,-0.14400000000000013,26.244,104.632,26.158,0.1059999999999981,25.14,100.82199999999999,25.205499999999997,-0.14399999999999835
5,15.028,75.66,15.132,-0.2159999999999993,5.15,25.491999999999997,5.0984,0.13000000000000078,26.028,130.66,26.131999999999998,-0.21600000000000108,25.27,126.09199999999998,25.218399999999995,0.129999999999999
6,15.008,90.66799999999999,15.111333333333333,-0.02000000000000135,5.132,30.623999999999995,5.103999999999999,-0.018000000000000682,26.008,156.668,26.111333333333334,-0.019999999999999574,25.252,151.344,25.224,-0.018000000000000682
7,15.032,105.69999999999999,15.099999999999998,0.02400000000000091,5.17,35.794,5.113428571428571,0.038000000000000256,26.032,182.70000000000002,26.1,0.02400000000000091,25.29,176.634,25.23342857142857,0.038000000000000256
8,15.052,120.75199999999998,15.094000000000001,0.019999999999999574,5.102,40.896,5.112,-0.06799999999999962,26.052,208.752,26.094,0.019999999999999574,25.222,201.856,25.232,-0.06799999999999784
9,15.194,135.94599999999997,15.10511111111111,0.14200000000000124,5.13,46.026,5.114000000000001,0.02799999999999958,26.194,234.946,26.10511111111111,0.14199999999999946,25.25,227.106,25.233999999999998,0.027999999999998693
10,15.082,151.02799999999996,15.102799999999998,-0.1120000000000001,5.05,51.076,5.1076,-0.08000000000000007,26.082,261.028,26.102800000000002,-0.11199999999999832,25.17,252.276,25.227600000000002,-0.0799999999999983
11,15.142,166.16999999999996,15.106363636363636,0.05999999999999872,5.136,56.212,5.110181818181818,0.0860000000000003,26.142,287.17,26.10636363636364,0.05999999999999872,25.256,277.53200000000004,25.230181818181823,0.08599999999999852
12,15.146,181.31599999999997,15.109666666666664,0.004000000000001336,5.076,61.288000000000004,5.107333333333334,-0.0600000000000005,26.146,313.31600000000003,26.10966666666667,0.004000000000001336,25.196,302.72800000000007,25.227333333333338,-0.05999999999999872
13,15.078,196.39399999999998,15.107230769230767,-0.06800000000000139,4.952,66.24000000000001,5.095384615384616,-0.12399999999999967,26.078,339.394,26.10723076923077,-0.06800000000000139,25.072,327.80000000000007,25.21538461538462,-0.12400000000000233
14,15.134,211.52799999999996,15.109142857142855,0.05600000000000094,5.058,71.298,5.092714285714286,0.10599999999999987,26.134,365.528,26.10914285714286,0.05600000000000094,25.178,352.97800000000007,25.21271428571429,0.10600000000000165
15,14.99,226.51799999999997,15.101199999999999,-0.14400000000000013,5.09,76.388,5.092533333333334,0.03200000000000003,25.99,391.51800000000003,26.101200000000002,-0.1440000000000019,25.21,378.18800000000005,25.212533333333337,0.03200000000000003
16,15.218,241.73599999999996,15.1085,0.22799999999999976,5.072,81.46000000000001,5.09125,-0.017999999999999794,26.218,417.73600000000005,26.1085,0.22800000000000153,25.192,403.38000000000005,25.21125,-0.018000000000000682
17,15.08,256.816,15.106823529411763,-0.1379999999999999,5.158,86.61800000000001,5.095176470588235,0.0860000000000003,26.08,443.81600000000003,26.106823529411763,-0.13800000000000168,25.278,428.6580000000001,25.215176470588236,0.08599999999999852
18,15.184,272.0,15.11111111111111,0.1039999999999992,5.156,91.77400000000002,5.0985555555555555,-0.002000000000000668,26.184,470.00000000000006,26.11111111111111,0.10400000000000276,25.276,453.9340000000001,25.218555555555557,-0.0019999999999988916
19,15.018,287.01800000000003,15.106210526315792,-0.1659999999999986,5.062,96.83600000000001,5.096631578947369,-0.09399999999999942,26.018,496.01800000000003,26.10621052631579,-0.16600000000000037,25.182,479.1160000000001,25.21663157894737,-0.0940000000000012
20,15.114,302.132,15.1066,0.09600000000000009,5.078,101.91400000000002,5.0957,0.016000000000000014,26.114,522.1320000000001,26.106600000000004,0.09600000000000009,25.198,504.3140000000001,25.215700000000002,0.01600000000000179
21,15.052,317.184,15.104000000000001,-0.062000000000001165,5.142,107.05600000000001,5.097904761904762,0.06400000000000006,26.052,548.1840000000001,26.104000000000003,-0.062000000000001165,25.262,529.576,25.217904761904762,0.06400000000000006
