step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.818,15.818,15.818,0.0,5.772,5.772,5.772,0.0,26.802,26.802,26.802,0.0,25.774,25.774,25.774,0.0
2,15.892,31.71,15.855,0.07399999999999984,5.92,11.692,5.846,0.1479999999999997,26.876,53.678,26.839,0.07400000000000162,25.922,51.696,25.848,0.1479999999999997
3,15.994,47.704,15.901333333333334,0.10200000000000031,5.81,17.502,5.834,-0.11000000000000032,26.978,80.656,26.885333333333335,0.10200000000000031,25.812,77.508,25.836,-0.10999999999999943
4,15.922,63.626000000000005,15.906500000000001,-0.07199999999999918,5.712,23.214,5.8035,-0.09799999999999986,26.906,107.56200000000001,26.890500000000003,-0.07200000000000273,25.714,103.222,25.8055,-0.09800000000000253
5,16.016,79.642,15.9284,0.09399999999999764,5.872,29.086,5.8172,0.16000000000000014,27.0,134.562,26.9124,0.0940000000000012,25.874,129.096,25.819200000000002,0.16000000000000014
6,15.854,95.496,15.915999999999999,-0.16199999999999903,5.804,34.89,5.815,-0.06799999999999962,26.838,161.4,26.900000000000002,-0.16199999999999903,25.806,154.90200000000002,25.817000000000004,-0.06799999999999784
7,15.83,111.326,15.903714285714285,-0.023999999999999133,5.76,40.65,5.807142857142857,-0.04400000000000048,26.814,188.214,26.887714285714285,-0.02400000000000091,25.762,180.66400000000002,25.80914285714286,-0.04400000000000048
8,15.922,127.24799999999999,15.906,0.09200000000000053,5.728,46.378,5.79725,-0.03200000000000003,26.906,215.12,26.89,0.09199999999999875,25.73,206.394,25.79925,-0.03200000000000003
9,15.888,143.136,15.904,-0.034000000000000696,5.818,52.196,5.799555555555555,0.08999999999999986,26.872,241.99200000000002,26.888,-0.03399999999999892,25.82,232.214,25.801555555555556,0.08999999999999986
10,15.714,158.85,15.885,-0.1739999999999995,5.796,57.992,5.7992,-0.021999999999999353,26.698,268.69,26.869,-0.1739999999999995,25.798,258.012,25.8012,-0.022000000000002018
11,16.01,174.85999999999999,15.896363636363635,0.29600000000000115,5.94,63.931999999999995,5.811999999999999,0.14400000000000013,26.994,295.68399999999997,26.880363636363633,0.2959999999999994,25.942,283.954,25.814,0.1440000000000019
12,15.918,190.778,15.898166666666667,-0.0920000000000023,5.782,69.714,5.8095,-0.15800000000000036,26.902,322.58599999999996,26.882166666666663,-0.09199999999999875,25.784,309.738,25.8115,-0.15800000000000125
13,15.824,206.602,15.89246153846154,-0.09399999999999942,5.76,75.474,5.805692307692308,-0.02200000000000024,26.808,349.39399999999995,26.876461538461534,-0.0940000000000012,25.762,335.5,25.807692307692307,-0.021999999999998465
14,15.978,222.58,15.89857142857143,0.15399999999999991,5.756,81.23,5.802142857142857,-0.0039999999999995595,26.962,376.35599999999994,26.882571428571424,0.15399999999999991,25.758,361.258,25.804142857142857,-0.004000000000001336
15,15.962,238.542,15.902800000000001,-0.016000000000000014,6.016,87.24600000000001,5.816400000000001,0.2599999999999998,26.946,403.30199999999996,26.886799999999997,-0.015999999999998238,26.018,387.27599999999995,25.818399999999997,0.26000000000000156
16,15.966,254.508,15.90675,0.0039999999999995595,5.828,93.07400000000001,5.817125,-0.18799999999999972,26.95,430.25199999999995,26.890749999999997,0.003999999999997783,25.83,413.10599999999994,25.819125,-0.1880000000000024
17,15.826,270.334,15.902000000000001,-0.1399999999999988,5.856,98.93,5.819411764705882,0.02799999999999958,26.81,457.06199999999995,26.885999999999996,-0.14000000000000057,25.858,438.96399999999994,25.821411764705882,0.028000000000002245
18,15.886,286.22,15.901111111111113,0.05999999999999872,5.834,104.76400000000001,5.820222222222222,-0.02200000000000024,26.87,483.93199999999996,26.885111111111108,0.060000000000002274,25.836,464.79999999999995,25.822222222222223,-0.022000000000002018
19,15.818,302.038,15.896736842105264,-0.06799999999999962,5.736,110.50000000000001,5.815789473684211,-0.09799999999999986,26.802,510.734,26.88073684210526,-0.06800000000000139,25.738,490.53799999999995,25.81778947368421,-0.09799999999999898
20,16.002,318.04,15.902000000000001,0.18399999999999928,5.882,116.38200000000002,5.819100000000001,0.1459999999999999,26.986,537.72,26.886000000000003,0.18400000000000105,25.884,516.4219999999999,25.8211,0.1460000000000008
21,15.928,333.968,15.903238095238097,-0.07399999999999807,5.836,122.21800000000002,5.819904761904762,-0.045999999999999375,26.912,564.6320000000001,26.887238095238096,-0.07400000000000162,25.838,542.2599999999999,25.82190476190476,-0.045999999999999375
