step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.25,15.25,15.25,0.0,5.286,5.286,5.286,0.0,26.262,26.262,26.262,0.0,25.228,25.228,25.228,0.0
2,15.326,30.576,15.288,0.07600000000000051,5.168,10.454,5.227,-0.11799999999999944,26.338,52.6,26.3,0.07600000000000051,25.11,50.338,25.169,-0.1180000000000021
3,15.242,45.818,15.272666666666666,-0.08399999999999963,5.132,15.586,5.195333333333333,-0.036000000000000476,26.254,78.854,26.284666666666666,-0.08399999999999963,25.074,75.412,25.137333333333334,-0.03599999999999781
4,15.144,60.961999999999996,15.240499999999999,-0.09800000000000075,5.1,20.686,5.1715,-0.03200000000000003,26.156,105.00999999999999,26.252499999999998,-0.09800000000000253,25.042,100.45400000000001,25.113500000000002,-0.03200000000000003
5,15.316,76.27799999999999,15.255599999999998,0.1720000000000006,5.234,25.92,5.184,0.13400000000000034,26.328,131.338,26.267599999999998,0.1720000000000006,25.176,125.63000000000001,25.126,0.1339999999999968
6,15.222,91.49999999999999,15.249999999999998,-0.0940000000000012,5.138,31.058,5.176333333333333,-0.09600000000000009,26.234,157.572,26.262,-0.09399999999999764,25.08,150.71,25.118333333333336,-0.09600000000000009
7,15.286,106.78599999999999,15.255142857142856,0.06400000000000006,5.218,36.275999999999996,5.1822857142857135,0.08000000000000007,26.298,183.87,26.267142857142858,0.0639999999999965,25.16,175.87,25.124285714285715,0.08000000000000185
8,15.204,121.98999999999998,15.248750000000001,-0.08199999999999896,5.088,41.364,5.1705000000000005,-0.1299999999999999,26.216,210.086,26.260749999999998,-0.08199999999999719,25.03,200.9,25.1125,-0.129999999999999
9,15.262,137.25199999999998,15.250222222222224,0.05799999999999983,5.134,46.498,5.166444444444445,0.04600000000000026,26.274,236.36,26.26222222222222,0.05799999999999983,25.076,225.976,25.108444444444444,0.045999999999999375
10,15.27,152.522,15.252200000000002,0.007999999999999119,5.118,51.616,5.161600000000001,-0.016000000000000014,26.282,262.642,26.2642,0.007999999999999119,25.06,251.036,25.1036,-0.01600000000000179
11,15.244,167.766,15.251454545454548,-0.0259999999999998,5.19,56.806,5.164181818181818,0.07200000000000006,26.256,288.898,26.263454545454547,-0.0259999999999998,25.132,276.168,25.10618181818182,0.07200000000000273
12,15.136,182.902,15.241833333333334,-0.10800000000000054,5.07,61.876,5.156333333333333,-0.1200000000000001,26.148,315.04600000000005,26.253833333333336,-0.10800000000000054,25.012,301.18,25.098333333333333,-0.120000000000001
13,15.352,198.254,15.250307692307693,0.21600000000000108,5.264,67.14,5.164615384615384,0.19399999999999995,26.364,341.41,26.262307692307694,0.21600000000000108,25.206,326.386,25.106615384615388,0.19399999999999906
14,15.086,213.34,15.238571428571431,-0.266,5.092,72.232,5.159428571428571,-0.1720000000000006,26.098,367.50800000000004,26.25057142857143,-0.2660000000000018,25.034,351.42,25.101428571428574,-0.1720000000000006
15,15.248,228.588,15.239200000000002,0.16199999999999903,5.124,77.356,5.157066666666666,0.03200000000000003,26.26,393.76800000000003,26.2512,0.1620000000000026,25.066,376.486,25.099066666666666,0.03200000000000003
16,15.358,243.946,15.246625000000002,0.11000000000000121,5.132,82.488,5.1555,0.008000000000000007,26.37,420.13800000000003,26.258625000000002,0.10999999999999943,25.074,401.56,25.0975,0.008000000000002672
17,15.288,259.234,15.249058823529413,-0.07000000000000028,5.196,87.684,5.157882352941177,0.06400000000000006,26.3,446.43800000000005,26.261058823529414,-0.07000000000000028,25.138,426.698,25.099882352941176,0.06400000000000006
18,15.25,274.484,15.249111111111112,-0.038000000000000256,5.118,92.80199999999999,5.155666666666666,-0.0779999999999994,26.262,472.70000000000005,26.261111111111113,-0.038000000000000256,25.06,451.758,25.097666666666665,-0.07800000000000296
19,15.39,289.87399999999997,15.256526315789475,0.14000000000000057,5.112,97.91399999999999,5.1533684210526305,-0.006000000000000227,26.402,499.10200000000003,26.268526315789476,0.14000000000000057,25.054,476.81199999999995,25.09536842105263,-0.006000000000000227
20,15.152,305.02599999999995,15.2513,-0.23800000000000132,5.308,103.22199999999998,5.161099999999999,0.19599999999999973,26.164,525.2660000000001,26.263300000000005,-0.23799999999999955,25.25,502.06199999999995,25.103099999999998,0.1960000000000015
21,15.22,320.246,15.249809523809526,0.06800000000000139,5.152,108.37399999999998,5.160666666666666,-0.1559999999999997,26.232,551.498,26.261809523809525,0.06799999999999784,25.094,527.156,25.102666666666664,-0.1559999999999988
22,15.42,335.666,15.257545454545458,0.1999999999999993,5.372,113.74599999999998,5.170272727272726,0.21999999999999975,26.432,577.9300000000001,26.269545454545458,0.1999999999999993,25.314,552.4699999999999,25.112272727272725,0.21999999999999886
23,15.156,350.822,15.25313043478261,-0.26399999999999935,5.19,118.93599999999998,5.171130434782608,-0.1819999999999995,26.168,604.0980000000001,26.265130434782613,-0.26399999999999935,25.132,577.6019999999999,25.1131304347826,-0.1819999999999986
24,15.202,366.024,15.251,0.045999999999999375,5.138,124.07399999999998,5.1697500000000005,-0.05200000000000049,26.214,630.3120000000001,26.263,0.045999999999999375,25.08,602.6819999999999,25.11175,-0.052000000000003155
25,15.256,381.28,15.251199999999999,0.05400000000000027,5.188,129.26199999999997,5.17048,0.04999999999999982,26.268,656.5800000000002,26.2632,0.054000000000002046,25.13,627.8119999999999,25.11248,0.05000000000000071
26,15.076,396.356,15.244461538461538,-0.17999999999999972,5.12,134.38199999999998,5.1685384615384615,-0.06799999999999962,26.088,682.6680000000001,26.25646153846154,-0.17999999999999972,25.062,652.8739999999999,25.11053846153846,-0.06799999999999784
27,15.294,411.65,15.246296296296295,0.21799999999999997,5.01,139.39199999999997,5.1626666666666665,-0.11000000000000032,26.306,708.9740000000002,26.258296296296297,0.21799999999999997,24.952,677.8259999999999,25.104666666666667,-0.10999999999999943
28,15.264,426.914,15.24692857142857,-0.030000000000001137,5.144,144.53599999999997,5.162,0.13400000000000034,26.276,735.2500000000001,26.258928571428573,-0.030000000000001137,25.086,702.9119999999999,25.104000000000003,0.1339999999999968
