step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.318,15.318,15.318,0.0,5.294,5.294,5.294,0.0,26.334,26.334,26.334,0.0,25.36,25.36,25.36,0.0
2,15.2,30.518,15.259,-0.11800000000000033,5.314,10.608,5.304,0.020000000000000462,26.216,52.55,26.275,-0.11799999999999855,25.38,50.739999999999995,25.369999999999997,0.019999999999999574
3,15.15,45.668,15.222666666666667,-0.049999999999998934,5.222,15.830000000000002,5.276666666666667,-0.09199999999999964,26.166,78.716,26.238666666666663,-0.05000000000000071,25.288,76.02799999999999,25.342666666666663,-0.09199999999999875
4,15.252,60.92,15.23,0.10200000000000031,5.226,21.056,5.264,0.0039999999999995595,26.268,104.984,26.246,0.10200000000000031,25.292,101.32,25.33,0.004000000000001336
5,15.066,75.986,15.1972,-0.18599999999999994,5.332,26.388,5.2776000000000005,0.10599999999999987,26.082,131.066,26.2132,-0.18599999999999994,25.398,126.71799999999999,25.3436,0.1059999999999981
6,15.26,91.24600000000001,15.207666666666668,0.19399999999999906,5.198,31.586000000000002,5.264333333333334,-0.13399999999999945,26.276,157.342,26.22366666666667,0.19399999999999906,25.264,151.982,25.330333333333332,-0.13400000000000034
7,15.28,106.52600000000001,15.218000000000002,0.019999999999999574,5.208,36.794000000000004,5.256285714285715,0.009999999999999787,26.296,183.638,26.234,0.019999999999999574,25.274,177.256,25.322285714285716,0.010000000000001563
8,15.276,121.802,15.225249999999999,-0.0039999999999995595,5.254,42.048,5.256,0.045999999999999375,26.292,209.93,26.24125,-0.003999999999997783,25.32,202.576,25.322,0.045999999999999375
9,15.156,136.958,15.217555555555556,-0.11999999999999922,5.19,47.238,5.248666666666667,-0.06399999999999917,26.172,236.102,26.233555555555554,-0.120000000000001,25.256,227.832,25.314666666666668,-0.06400000000000006
10,15.236,152.194,15.219399999999998,0.08000000000000007,5.346,52.584,5.2584,0.1559999999999997,26.252,262.354,26.2354,0.0799999999999983,25.412,253.244,25.3244,0.1559999999999988
11,15.238,167.432,15.221090909090908,0.0019999999999988916,5.24,57.824000000000005,5.256727272727273,-0.10599999999999987,26.254,288.608,26.23709090909091,0.0020000000000024443,25.306,278.55,25.322727272727274,-0.1059999999999981
12,15.232,182.664,15.222,-0.006000000000000227,5.2,63.02400000000001,5.252000000000001,-0.040000000000000036,26.248,314.856,26.238,-0.006000000000000227,25.266,303.81600000000003,25.318,-0.0400000000000027
13,15.182,197.84599999999998,15.218923076923074,-0.049999999999998934,5.292,68.316,5.255076923076923,0.09199999999999964,26.198,341.054,26.234923076923074,-0.05000000000000071,25.358,329.17400000000004,25.321076923076927,0.0920000000000023
14,15.144,212.98999999999998,15.213571428571427,-0.038000000000000256,5.27,73.586,5.256142857142857,-0.02200000000000024,26.16,367.214,26.22957142857143,-0.038000000000000256,25.336,354.51000000000005,25.32214285714286,-0.022000000000002018
15,15.146,228.13599999999997,15.209066666666665,0.002000000000000668,5.02,78.606,5.240399999999999,-0.25,26.162,393.376,26.225066666666667,0.0019999999999988916,25.086,379.59600000000006,25.306400000000004,-0.25
16,15.264,243.39999999999998,15.212499999999999,0.11799999999999855,5.154,83.75999999999999,5.234999999999999,0.13400000000000034,26.28,419.65599999999995,26.228500000000004,0.1180000000000021,25.22,404.81600000000003,25.301000000000002,0.13400000000000034
17,15.178,258.578,15.210470588235292,-0.08599999999999852,5.272,89.032,5.237176470588235,0.11800000000000033,26.194,445.84999999999997,26.226470588235298,-0.08600000000000207,25.338,430.15400000000005,25.303176470588237,0.1180000000000021
18,15.17,273.748,15.208222222222222,-0.008000000000000895,5.246,94.27799999999999,5.237666666666666,-0.0259999999999998,26.186,472.03599999999994,26.224222222222224,-0.007999999999999119,25.312,455.46600000000007,25.303666666666672,-0.0259999999999998
19,15.206,288.954,15.208105263157895,0.03599999999999959,5.096,99.374,5.23021052631579,-0.15000000000000036,26.222,498.2579999999999,26.224105263157895,0.036000000000001364,25.162,480.62800000000004,25.296210526315793,-0.15000000000000213
20,15.242,304.196,15.209800000000001,0.036000000000001364,5.162,104.536,5.2268,0.06599999999999984,26.258,524.516,26.225800000000003,0.03599999999999781,25.228,505.85600000000005,25.292800000000003,0.0660000000000025
21,15.278,319.47400000000005,15.213047619047622,0.03599999999999959,5.244,109.78,5.227619047619048,0.08199999999999985,26.294,550.81,26.229047619047623,0.036000000000001364,25.31,531.166,25.29361904761905,0.08199999999999719
