step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.274,15.274,15.274,0.0,5.2,5.2,5.2,0.0,26.196,26.196,26.196,0.0,25.292,25.292,25.292,0.0
2,15.17,30.444,15.222,-0.1039999999999992,5.246,10.446000000000002,5.223000000000001,0.04600000000000026,26.092,52.288,26.144,-0.10400000000000276,25.338,50.63,25.315,0.045999999999999375
3,15.198,45.641999999999996,15.213999999999999,0.02800000000000047,5.154,15.600000000000001,5.2,-0.09200000000000053,26.12,78.408,26.136,0.028000000000002245,25.246,75.876,25.292,-0.0920000000000023
4,15.228,60.87,15.2175,0.02999999999999936,5.306,20.906000000000002,5.226500000000001,0.15200000000000014,26.15,104.55799999999999,26.139499999999998,0.029999999999997584,25.398,101.274,25.3185,0.15200000000000102
5,15.276,76.146,15.2292,0.04800000000000004,5.388,26.294000000000004,5.258800000000001,0.08199999999999985,26.198,130.756,26.1512,0.04800000000000182,25.48,126.754,25.3508,0.08200000000000074
6,15.166,91.312,15.218666666666666,-0.10999999999999943,5.064,31.358000000000004,5.226333333333334,-0.32399999999999984,26.088,156.844,26.140666666666664,-0.10999999999999943,25.156,151.91,25.31833333333333,-0.3240000000000016
7,15.254,106.566,15.223714285714285,0.08799999999999919,5.264,36.62200000000001,5.231714285714287,0.20000000000000018,26.176,183.01999999999998,26.145714285714284,0.08799999999999741,25.356,177.266,25.323714285714285,0.20000000000000284
8,15.234,121.8,15.225000000000001,-0.019999999999999574,5.126,41.748000000000005,5.218500000000001,-0.1379999999999999,26.156,209.176,26.147,-0.019999999999999574,25.218,202.48399999999998,25.310499999999998,-0.13800000000000168
9,15.142,136.942,15.21577777777778,-0.09200000000000053,5.036,46.784000000000006,5.198222222222223,-0.09000000000000075,26.064,235.23999999999998,26.137777777777774,-0.09199999999999875,25.128,227.61199999999997,25.29022222222222,-0.08999999999999986
10,15.3,152.24200000000002,15.224200000000002,0.15800000000000125,5.072,51.85600000000001,5.185600000000001,0.036000000000000476,26.222,261.462,26.1462,0.15800000000000125,25.164,252.77599999999995,25.277599999999996,0.036000000000001364
11,15.192,167.43400000000003,15.22127272727273,-0.10800000000000054,5.154,57.010000000000005,5.1827272727272735,0.08199999999999985,26.114,287.57599999999996,26.143272727272723,-0.10800000000000054,25.246,278.02199999999993,25.274727272727265,0.08199999999999719
12,15.184,182.61800000000002,15.218166666666669,-0.008000000000000895,5.266,62.276,5.189666666666667,0.1120000000000001,26.106,313.68199999999996,26.140166666666662,-0.007999999999999119,25.358,303.37999999999994,25.281666666666663,0.11200000000000188
13,15.308,197.92600000000002,15.225076923076925,0.12400000000000055,5.284,67.56,5.196923076923077,0.017999999999999794,26.23,339.912,26.14707692307692,0.12399999999999878,25.376,328.7559999999999,25.28892307692307,0.018000000000000682
14,15.226,213.15200000000002,15.225142857142858,-0.08199999999999896,5.276,72.836,5.202571428571429,-0.008000000000000007,26.148,366.06,26.147142857142857,-0.08200000000000074,25.368,354.1239999999999,25.294571428571423,-0.008000000000002672
15,15.356,228.508,15.233866666666668,0.129999999999999,5.232,78.068,5.204533333333333,-0.043999999999999595,26.278,392.338,26.155866666666668,0.129999999999999,25.324,379.4479999999999,25.29653333333333,-0.04399999999999693
16,15.06,243.568,15.222999999999999,-0.2959999999999994,5.228,83.29599999999999,5.2059999999999995,-0.004000000000000448,25.982,418.32000000000005,26.145,-0.2959999999999994,25.32,404.7679999999999,25.298000000000002,-0.004000000000001336
17,15.18,258.748,15.220470588235294,0.11999999999999922,5.154,88.44999999999999,5.2029411764705875,-0.07399999999999984,26.102,444.422,26.14247058823529,0.120000000000001,25.246,430.0139999999999,25.294941176470587,-0.07400000000000162
18,15.266,274.014,15.223,0.0860000000000003,5.14,93.58999999999999,5.199444444444444,-0.014000000000000234,26.188,470.61,26.144999999999996,0.08599999999999852,25.232,455.24599999999987,25.291444444444444,-0.013999999999999346
19,15.258,289.272,15.224842105263157,-0.008000000000000895,5.134,98.72399999999999,5.196,-0.005999999999999339,26.18,496.79,26.146842105263158,-0.007999999999999119,25.226,480.47199999999987,25.288,-0.006000000000000227
20,15.198,304.46999999999997,15.223499999999998,-0.05999999999999872,5.322,104.04599999999999,5.202299999999999,0.18799999999999972,26.12,522.91,26.1455,-0.05999999999999872,25.414,505.88599999999985,25.2943,0.1880000000000024
21,15.27,319.73999999999995,15.225714285714284,0.07199999999999918,5.23,109.276,5.203619047619047,-0.09199999999999964,26.192,549.102,26.147714285714283,0.07199999999999918,25.322,531.2079999999999,25.295619047619045,-0.0920000000000023
22,15.174,334.91399999999993,15.223363636363633,-0.09600000000000009,5.152,114.428,5.201272727272727,-0.07800000000000029,26.096,575.198,26.145363636363637,-0.09600000000000009,25.244,556.4519999999999,25.293272727272726,-0.0779999999999994
23,15.232,350.14599999999996,15.223739130434781,0.05799999999999983,5.27,119.698,5.204260869565217,0.11799999999999944,26.154,601.352,26.14573913043478,0.05799999999999983,25.362,581.8139999999999,25.296260869565216,0.11799999999999855
24,15.394,365.53999999999996,15.230833333333331,0.1620000000000008,5.222,124.91999999999999,5.205,-0.047999999999999154,26.316,627.668,26.152833333333334,0.16199999999999903,25.314,607.1279999999998,25.297,-0.047999999999998266
25,15.07,380.60999999999996,15.224399999999997,-0.32399999999999984,5.0,129.92,5.1968000000000005,-0.22200000000000042,25.992,653.66,26.1464,-0.32399999999999807,25.092,632.2199999999998,25.288800000000002,-0.2220000000000013
26,15.332,395.94199999999995,15.22853846153846,0.26200000000000045,5.232,135.152,5.198153846153847,0.2320000000000002,26.254,679.914,26.15053846153846,0.26200000000000045,25.324,657.5439999999998,25.290153846153846,0.23200000000000287
27,15.178,411.11999999999995,15.226666666666665,-0.15399999999999991,5.224,140.37599999999998,5.199111111111112,-0.008000000000000007,26.1,706.014,26.148666666666667,-0.15399999999999991,25.316,682.8599999999998,25.29111111111111,-0.008000000000002672
28,15.126,426.2459999999999,15.223071428571426,-0.05200000000000138,5.244,145.61999999999998,5.200714285714286,0.019999999999999574,26.048,732.062,26.14507142857143,-0.052000000000003155,25.336,708.1959999999998,25.292714285714286,0.019999999999999574
29,15.266,441.51199999999994,15.224551724137928,0.14000000000000057,5.206,150.82599999999996,5.200896551724138,-0.03799999999999937,26.188,758.25,26.146551724137932,0.14000000000000057,25.298,733.4939999999998,25.292896551724137,-0.038000000000000256
30,15.216,456.72799999999995,15.224266666666665,-0.05000000000000071,5.318,156.14399999999998,5.2048000000000005,0.11199999999999921,26.138,784.388,26.14626666666667,-0.04999999999999716,25.41,758.9039999999998,25.2968,0.11200000000000188
31,15.14,471.86799999999994,15.221548387096773,-0.07599999999999874,5.168,161.31199999999998,5.203612903225807,-0.14999999999999947,26.062,810.45,26.143548387096775,-0.07600000000000051,25.26,784.1639999999998,25.295612903225805,-0.14999999999999858
32,15.25,487.11799999999994,15.2224375,0.10999999999999943,5.32,166.63199999999998,5.20725,0.15200000000000014,26.172,836.6220000000001,26.144437500000002,0.10999999999999943,25.412,809.5759999999998,25.29925,0.15199999999999747
33,15.314,502.43199999999996,15.225212121212122,0.06400000000000006,5.358,171.98999999999998,5.211818181818182,0.03799999999999937,26.236,862.8580000000001,26.147212121212124,0.06400000000000006,25.45,835.0259999999998,25.303818181818183,0.038000000000000256
34,15.22,517.6519999999999,15.225058823529412,-0.09399999999999942,5.17,177.15999999999997,5.210588235294118,-0.18799999999999972,26.142,889.0000000000001,26.147058823529417,-0.0940000000000012,25.262,860.2879999999998,25.302588235294117,-0.18799999999999883
35,15.232,532.8839999999999,15.225257142857144,0.011999999999998678,5.16,182.31999999999996,5.209142857142857,-0.009999999999999787,26.154,915.1540000000001,26.147257142857146,0.012000000000000455,25.252,885.5399999999997,25.301142857142857,-0.010000000000001563
36,15.142,548.026,15.222944444444446,-0.08999999999999986,5.29,187.60999999999996,5.211388888888888,0.1299999999999999,26.064,941.2180000000001,26.144944444444448,-0.08999999999999986,25.382,910.9219999999997,25.303388888888886,0.13000000000000256
37,15.3,563.3259999999999,15.225027027027028,0.15800000000000125,5.18,192.78999999999996,5.21054054054054,-0.11000000000000032,26.222,967.44,26.14702702702703,0.15800000000000125,25.272,936.1939999999997,25.30254054054054,-0.11000000000000298
38,15.296,578.622,15.226894736842107,-0.004000000000001336,5.266,198.05599999999995,5.212,0.0860000000000003,26.218,993.658,26.148894736842106,-0.004000000000001336,25.358,961.5519999999997,25.304,0.08600000000000207
39,15.28,593.9019999999999,15.228256410256412,-0.016000000000000014,5.112,203.16799999999995,5.209435897435897,-0.15399999999999991,26.202,1019.86,26.15025641025641,-0.015999999999998238,25.204,986.7559999999996,25.301435897435894,-0.15399999999999991
